resp_time,stress_level,sleep_hour,sleep_rate,exercise,Social2,working,relaxing,social_number,anxious,calm,disorganized,enthusiastic,critical,conventional
2013-04-02,0.8571428571428571,5.5,2.5,2.5,2.5,1.8387096774193548,1.903225806451613,4.0,2.0869565217391304,3.9565217391304346,2.1956521739130435,2.847826086956522,2.369565217391304,2.760869565217391
2013-04-03,0.5454545454545454,5.0,2.0,1.0,2.0,1.8387096774193548,1.903225806451613,4.0,2.0869565217391304,3.9565217391304346,2.1956521739130435,2.847826086956522,2.369565217391304,2.760869565217391
2013-04-04,0.6666666666666666,5.0,2.0,1.0,2.0,1.8387096774193548,1.903225806451613,5.0,2.0869565217391304,3.9565217391304346,2.1956521739130435,2.847826086956522,2.369565217391304,2.760869565217391
2013-04-05,1.3076923076923077,3.5,2.25,1.0,1.5,1.8387096774193548,1.903225806451613,4.6,2.0869565217391304,3.956521739130435,2.1956521739130435,2.847826086956522,2.369565217391304,2.760869565217391
2013-04-07,0.7142857142857143,10.0,1.0,1.0,2.0,1.8387096774193548,1.903225806451613,4.333333333333333,2.0869565217391304,3.956521739130435,2.1956521739130435,2.847826086956522,2.369565217391304,2.760869565217391
2013-04-08,1.3333333333333333,5.5,2.5,1.0,1.7916666666666667,1.0,2.0,4.0,2.0,4.0,1.75,3.0,2.75,2.25
2013-04-10,0.8,6.5,2.0,1.0,1.7916666666666667,3.0,2.0,4.0,2.0,4.5,2.5,3.0,2.0,2.5
2013-04-12,0.8571428571428571,5.5,3.0,1.0,1.7916666666666667,3.0,2.0,4.0,2.0,5.0,2.0,4.0,3.0,2.0
2013-04-18,0.75,6.0,3.0,1.0,1.7916666666666667,2.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,2.0
2013-04-19,0.5,6.0,2.0,1.0,1.7916666666666667,2.0,2.0,5.0,2.0,4.0,2.0,3.5,2.0,2.0
2013-04-22,1.0,5.0,3.0,1.0,1.7916666666666667,2.0,2.0,4.0,1.5,4.5,2.0,4.5,2.0,2.5
2013-05-29,2.0,4.0,2.0,1.0,1.7916666666666667,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0
2013-06-02,0.0,10.0,2.0,1.0,1.7916666666666667,1.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0
